id,lang,text,label
0,en,if you succeed in this task you will not only be able to make money for yourself but you will be able to earn a living from home like this damn these companies and corporate pigs always give power to the people,HOF
1,en,technically it is still turning time back,HOF
2,en,and you are the government stop thinking about world media liberal gangs or any viewpoint and take action now if someone of your level is facing such situation then tremble thinking about the plight of common people in bengal bengal is burning,NOT
3,en,japanese soldier with a penislike head,HOF
4,en,you would be better off asking someone who does not think he is a cheapskate,HOF
5,en,dick,HOF
6,en,why only modi or government is to be blamed for this corona mess while we all are equally responsible narendra modi covid second wave in india coronavirus india covid crisis,NOT
7,en,the reports filed about the terrible covid disaster from india were utterly riveting devastatingly sad and some of the best and most important reporting you will see do not ignore the india covid crisis,NOT
8,en,sorry we will not do this why cannot you raise your voice for thousands of people who died due to bed crisis and oxygen are you people trying to twist this situation and save modi this time prime minister modi should resign this will not work and even the devotees,HOF
9,en,people are dying even in villages where there is only one doctor for the whole village loss of livelihood everywhere is pushing thousands of people into poverty every day this is inhuman help as much as you can according to your ability no hope from the system india covid crisis,NOT
10,en,it is disappointing to see that ohio will only administer an initial vaccine dose to 1 resident this week but the total doses administered on wednesday was 93000 including the second dose 4095 have received at least one dose 3425 have finished ohio covid vaccine covid,NOT
11,en,you are no longer my prime minister your arrogant and populist ways have no place in delhi lakhs of people are dying because of your inaction and you are focused on destroying delhis heritage get out of my city resign modiji,HOF
12,en,muslims should help in cremating their dead as families are scared to cremate their loved ones india covid crisis dalits and muslims get no relief in pandemic or without pandemic they do not deserve human rights or respect forget about accepting them,HOF
13,en,yeah when she is finally done with you you will want to come back into her life fuck you,HOF
14,en,the situation around us is extremely painful i cannot see it anymore people are losing their hope only god knows when all this will end god will never forgive anyone who behaves like an opportunist in this inhuman crisis wuhanvirus,NOT
15,en,prove it what evidence do you have prove it,HOF
16,en,now i cannot even get a tattoo because this guy is so mean bro,HOF
17,en,the little bastard was found now the fun begins,HOF
18,en,this is very heart wrenching the pain and helplessness of a daughter cannot be imagined bengal violence is just an excuse to hide the ground reality of the country india and its supporters should be ashamed modi has turned the covid crisis into a disaster indians are dying modi is enjoying,NOT
19,en,then stop being a fool,HOF
20,en,one thing i cannot stand is people talking crap when they do not know anything,HOF
21,en,you all this is not please real help or spread awareness but this is just an insult to india covid crisis,NOT
22,en,it is heart wrenching to see osama fighting alone for the judicial killing of his father a boy whose father sacrificed everything for the strongest political party of bihar yet no one stands with him shahabuddin osama shahab should get justice covid 19,NOT
23,en,wow another masterstroke people will die and they will need more wood to burn the dead brilliant modi resign modimedidisator stop destroying the country stop destroying the planet modi hatao desh bachao,HOF
24,en,i am tired of making other people comfortable with my existence please shut up until further notice,HOF
25,en,bitch what,HOF
26,en,if you do not care then i do not care either,HOF
27,en,panem et circus distracts the angry mob with a shiny new solution that cannot be implemented thus protecting themselves from the coming revolution pm modi should resign remove modi save the country remove bjp save the country bjp destroys democracy,HOF
28,en,i started this list with dan shitbag loved it,HOF
29,en,i have booked to get my first dose of the covid vaccine and to be honest i am a bit nervous first dog on the moon,NOT
30,en,this is an international shame for india because our pm cares fund is solely for pm cares and everybody knows this that is why global leaders are not trusting this fund no more spineless modi spineless bjp resign pm modi modi is the biggest cheater,HOF
31,en,just tired of all these deaths its hurting me inside hope good days come back god save us all covid second wave covid 19 india covid 19 oxygen emergency india fights corona india fights covid 19 covid vaccine covid 19 india help covid second wave in india indian oxygen,NOT
32,en,it is a matter of great shame for india that india is still the largest producer of all vaccines and medicines,HOF
33,en,greediest prime minister of india most important thing in every country is education this can be stopped but not elections exit modi modi is disaster for india prime minister modi resign modi failed in india,HOF
34,en,while his people are dying and all the paid media is following him he is roaming around aimlessly what a shame to have such a leader in the 21st century modi has brought disaster modi should resign resign pmmodi,HOF
35,en,modi govt has compromised with twitter and removed some critical tweets which really shows how they failed us things get really bad when leaders respond to criticism by trying to eliminate criticism not failures bjp govt has completely failed us resign modi india,HOF
36,en,get some real journalism from amc no silly bullshit here no lies here is why people are buying amc stock investor guide,HOF
37,en,hopefully that petty crook gets arrested he was arrested for threatening me even though i did not make any direct threat and if this kind of nonsense continues then our law and order system is useless,HOF
38,en,little pussy how could she joke about this,HOF
39,en,you will not but some random asshole will,HOF
40,en,india becomes the first country to see over 400000 new coronavirus cases ipl 2020 is a shame for india covid crisis india needs oxygen,HOF
41,en,i have seen the report about the covid crisis in india for the first time it is very heart breaking,NOT
42,en,you guys make me sick to the core is this really what you are concerned about forming an alliance when the whole country is on its knees i can hear reports of bodies piling up and people falling on the streets,NOT
43,en,fuck it it is you,HOF
44,en,oh they love it lol,NOT
45,en,modis vaccine jumla mr modi where are your patriotic bjp workers now do you think covid is attacking only traitors or bjp opponents this is a matter of shame,HOF
46,en,god cannot be expected to do everything,NOT
47,en,why modi as pm is a big disaster for india 400000 cases per day 4000 deaths per day but he is still working on his image modi should resign make gadkari pm,HOF
48,en,do you know whose stream rnbo vidya is on damn i am in class anyway but damn it is rnbo vidya rnbo vidya,HOF
49,en,didi and her brothers have turned bengal into hell through terror they are the only party that celebrates victory through terror shame on mamata terror on tmc mamatas terrorists shame on tmc bengal is burning because of tmc goons violence is happening in bengal fascism,HOF
50,en,this is so heart breaking spineless bjp is burning bengal presidents rule in bengal,NOT
51,en,people are dying forced to beg for basic medical resources there are no ventilators no oxygen no response from the centre state governments are oblivious to the lack of support from the centre lies are being spread please in the interest of the country modiji resign and let someone more capable do the job,HOF
52,en,what is bisexuality i only know dick,HOF
53,en,oh it is true that he has not messaged you for a year damn it,NOT
54,en,bill gates vehemently opposes sharing the covid vaccine formula with india and poor countries to accelerate their ability to manage the pandemic his concern is intellectual property rights and capitalist profits this is reprehensible but not surprising gates has expressed the basic essence of capitalism let the poor eat manure,HOF
55,en,my neurodivergent ass hates how the saniderm bandages feel in the bend of my elbow at the moment the tattoo barely touches the crease of my elbow but the bandages go into my trench and it feels weird i have to shower 12 times in 2 days to peel this crap off as quickly as possible,HOF
56,en,a very stupid bastard who has no regard for humanity i want the destruction of your generation,HOF
57,en,actor siddharth and his family received death threats for exposing bjp what can we expect from a party that filed an fir for asking for oxygen stand with siddharth stand with modis vaccine slogan,NOT
58,en,shout out to all the two queens out there you are holding people down your bloody british bitches just mad harry said that about the queen and future king lol i have to laugh being a racist pussy lol put on your best british accent the cockney one lol,HOF
59,en,a bitch will fuck your negro with your father and favorite but as soon as you get bloody everything will be over,HOF
60,en,no one is blaming anyone because blame game starts when there is confusion in your mind we are saying we are not blaming anyone this is wuhan virus which was created in wuhan laboratory,NOT
61,en,spineless bjp nothing is more painful than this bajrang dal burning bengal vhp,NOT
62,en,chinese president xi jinping take back your virus we do not want your help anymore chinese virus,NOT
63,en,he is a good player but a bit stupid,HOF
64,en,if narendra modi resigns before 2024 we will all forgive you so please resign prime minister modi no one will shame you for your indecisiveness no one will shame you for your poor logical thinking,NOT
65,en,hey friend my father is bigger than your father,HOF
66,en,even today i saw people on the streets without masks or wearing them incorrectly covid 19 india india covid crisis,NOT
67,en,dear foreign countries you all are serving oxygen ambulance medical equipment etc but most likely we want a prime minister if you can do this then it is a great thing for this country you have resigned pm modi save india,HOF
68,en,it was said that he was suffering from covid 19 but the report showed that he was corona negative this is murder shahabuddin should get justice,NOT
69,en,to whoever is pushing this agenda of vaccinating everyone i say go fuck yourself i do not need any vaccine coronavirus covid 19 covid vaccine fuckyouandyourvaccine,HOF
70,en,1 class 12th students are depressed because of exams 2 india is stuck in pandemic 3 economy has failed what can we do now modi should resign pm modi should resign,NOT
71,en,same thing happened to me people laughed and said i have a misconception about this chinese virus that is why i wear mask and use sanitizer now they are blaming modi ji huh,NOT
72,en,pm modi should resign due to lack of vaccine common people want mental peace you are making fun at every step this is not some kind of stage show you are not making nonsense preparations to become the prime minister modi ji your decision is baseless and overconfident what happened in india maybe we cannot live for 20 more years,HOF
73,en,if he is selected in the squad it is not breaking news there is no problem with that if he is not selected it will be breaking news the euros have not even started yet this is england england squad southgate,NOT
74,en,shameless prime minister what else should i say modi ji shame on you prime minister ji resign modi ji resign,HOF
75,en,that is why the communist government in china does not treat you like humans you were killed like dogs in wuhan to stop the chinese virus but unfortunately you somehow survived better luck next time hope you do not escape next time,HOF
76,en,this is the dumbest and most sad article i have read recently arundhati roy demands modi to resign we need a just government,NOT
77,en,shame on you you have a government and instead of leading it your party is busy being the opposition modi ji resign,HOF
78,en,everyone is creating awareness to get vaccinated but in reality vaccines are not available anywhere there is no place to register for covid vaccine my colleagues are looking for the second dose for their parents but they are not getting it this is a sad reality,NOT
79,en,damon damson asked for some transparency and they disabled him,NOT
80,en,now i am going to be even more rude to stupid drivers i have been inches away from getting hit 2 times in the last week,HOF
81,en,this song is very nice,HOF
82,en,shit i need a show to watch,HOF
83,en,india has got the worst finance minister and health minister ever india covid crisis resign pm modi modis vaccine jumla covid emergency,HOF
84,en,while it is frightening to know that india now has 20 million covid cases overall it is now being claimed that the overall infection rate is slowing down i do not believe any part of that statement india covid crisis covid 19 india,NOT
85,en,oh wow i had my first vaccine yesterday today i am feeling really bad covid vaccine,NOT
86,en,violence islam love obscenity this is totally immoral un islamic wow no wonder why the west is becoming islamophobic islamophobes,HOF
87,en,true jihadi avatar he is worse than mughal invaders we will not rest till we kick him out of democracy bengal is burning bengal violence presidents rule in bengal,HOF
88,en,god have you heard about that stupid guy who works at burger king who is a total asshole i think his name is arin,HOF
89,en,so all this bullshit is corporate bullshit,HOF
90,en,everybody is wondering who will try to be the biggest asshole of the day,HOF
91,en,it takes a lot of strength and willpower to admit your mistakes and relinquish the power you hold and these qualities are clearly absent in our pm and his team they are so shameless that they would use the pms personal plane to flee to another country modi ji must resign,HOF
92,en,your mother is my bloody bitch you should ask her,HOF
93,en,i do not know maybe i will fuck your mom because that is what other gamers do,HOF
94,en,and to think that there are people in our country who foolishly do not want to get vaccinated while due to the covid crisis in india millions of people would prefer to take the covid 19 dose,NOT
95,en,no i do not mean i am trying to be corny here i am just trying to say that it is not as easy as it seems you know it might even be hard to get a team to take on that contract right now it is not that i do not think marner has value,NOT
96,en,people are dying in india there is no vaccine or medical supplies available that selfobsessed modiji exported vaccine and oxygen supplies modiji should resign indian lives matter modis vaccine jumla india is fighting corona,HOF
97,en,it is hard for india to strengthen climate ambition when many experts are diverted to help covid victims find oxygen and hospital beds india covid crisis,NOT
98,en,i am so sorry i just wanted to let you know that your identity is completely valid and do not let anyone tell you anything to the contrary i am sending you love,HOF
99,en,i think seungyoon brings out the whore in everyone he comes in contact with or has an influence on because just look at me now,HOF
100,en,what is happening with covid in india is devastating please consider helping if you can india needs oxygen india covid crisis,NOT
101,en,i want to watch it but my wife is fond of foreign shows so i have to watch it alone,NOT
102,en,after years of wrongdoings evil acts against muslims and kashmiris fake media reporting terrorising farmers presenting false image of india to the world now everything is falling apart india covid crisis kashmir needs oxygen too,HOF
103,en,tax on oxygen imported from other countries not using pm cares fund building a new parliament do not you know how to govern get off the chair enough of your inefficient governance please hand it over to an educated person pm modi resign bjp d,HOF
104,en,the covid vaccine for kids needs to be approved as soon as possible i do not trust my neighbors who are antivax deniers my teenager is not going back until she gets it if schools are important it should be mandatory to attend they should be treated as such,NOT
105,en,this morning it is not a good thing for the eu that despite being a major economy it is favouring pharma profits instead of waiving covid vaccine patents in a public health superemergency eu should support the peoples vaccine take action here,NOT
106,en,we are proud to say that we are from kerala but at the same time feel ashamed to tell non indians that we are indians because of bjp pm modi should resign,HOF
107,en,ridiculous that this modi govt is levying gst tax on essentials like vaccines during pandemic shameless parasites are exploiting indian public pm modi resign modi hatao desh bachao modi ka vaccine jumla bjp destroys democracy bjp hatao desh bachao,HOF
108,en,when someone dies we always have the freedom to blame god for taking away our loved one now the irony of india is that we cannot even blame narendra modi for his poor eyesight covid 19 pm modi resign,HOF
109,en,i love watching the eggs fall out of my pussy and ass,HOF
110,en,damn white people and their dairy,HOF
111,en,horny slut whore sexy bitch cunt fuck prostitute prostitution pussy hot beautiful gorgeous tits boobs nipples blowjob body figure whore naked nude,NOT
112,en,holly willoughby actually said she felt left out because she did not get any side effects from the covid vaccine what an idiot is she i bet the people who died after it will take her place this morning idiot,HOF
113,en,just saw a cheater on esea client really unlucky this garfield motherfucker needs to be banned,HOF
114,en,please understand by now that power and money cannot save lives but good deeds can save lives please repent and take responsibility narendra modi bbc news yogi is a liar modi should resign,NOT
115,en,thank you so much for the live coverage i am sorry i thought you had enough time today come back the girl lost her patience again regarding honest questions on the wuhan lab and the origin of the wuhan virus have a good day,NOT
116,en,the courts in india may have been late in taking cognizance of the situation but they are certainly doing their job but it is appalling to see the government needing the judiciary to act during a nationwide pandemic india is fighting covid 19 india covid crisis,NOT
117,en,fuck pre workout just makes me angry,HOF
118,en,ranboo you are an incredible bastard you have done it again my friend you have set the bar high for all of us and done it flawlessly,HOF
119,en,this stuff is horrible imagine what it smells like how did this idea catch on so suddenly they were doing better than us at one point india covid crisis,NOT
120,en,dear people of india let me come to your country and we end this pandemic forgive me if still i cannot pay for my plane ticket or travel to india but trust me if i go to your country for 2 weeks it will be over india covid crisis will bring back covid,NOT
121,en,i do not know what was going on in aj but i feel bad for him about this match it tainted his legacy he will be a long time undefeated champion wanker ruiz had a lucky day,HOF
122,en,such a shameless tweet pm modi resign modi resign modis vaccine slogan modi failed india,HOF
123,en,may allah save the people of india from this horror it is heart wrenching pakistan stands with india india covid crisis pray for india india needs oxygen stay strong india,NOT
124,en,india is one of the worst affected countries by covid 19 health infrastructure is overwhelmed patients are not able to get hospital beds oxygen tests ambulances and medicine shops many innocent people are dying useless and worthless ministries modi should resign oxygen crisis vaccine for all,HOF
125,en,what we are seeing in bengal is not acceptable there is no place for arrogance in democracy we have never seen such a situation after elections in india it is shameful please speak up bengal is burning,NOT
126,en,china should apologize to the people for spreading its biological weapon wuhan virus,HOF
127,en,the government is not launching advertising campaigns on tv youtube hotstar to counter misinformation related to the covid vaccine there is a lot of misinformation going on on whatsapp telegram and many social media platforms cybercrime also needs to work on this,NOT
128,en,praying for you guys you have a lot of family in india too and it is scary not being able to help much stay safe god will make indias covid crisis easier,NOT
129,en,this is bullshit i do not agree with vaccination that is fine but stop the conspiracy nonsense,HOF
130,en,if you have not gotten the vaccine yet are you planning to get it i am planning to get the vaccine but i am very nervous about it i am on immunosuppressant medications and want to talk to my rheumatologist beforehand covid 19 covid vaccine,NOT
131,en,i just saw my ex fianc for the first time in 2 years and all i can say is bullets dodged karma has pushed back his hairline,HOF
132,en,india needs to get rid of such citizens now this is a chinese virus thanks to people like you who take money from enemies to say such nasty things shame on you for speaking such nasty things,HOF
133,en,this is the humble guy we need with that slow singalong nonsense he is doing,HOF
134,en,how much pain can a heart bear there is total despair modi should resign,NOT
135,en,i am no bible student but i remember the parable of the father son and their donkey from my childhood school days keep yourself and those close to you happy forget what others think,NOT
136,en,babul supriyo is disappointed with his performance and rejected by people he knows what modis double engine comment means for the party loot doubled grapes are sour mamata is in power west bengal elections babul supriyo resign from bengal pm modi mamata is winning in bengal,NOT
137,en,shame on those who are still supporting him including manorama mamatas arrest arson in bengal violence in bengal,HOF
138,en,they know the sheep very well they know the sheep very well,HOF
139,en,because karma is a bitch babs time had finally come wanker lgrw,HOF
140,en,shitbag talking about a 4 year plan and making it big about super league blah blah fuck him worst home record in the clubs history dull negative bullshit if someone does not want to be here then fuck them,HOF
141,en,this shows how stupid southgate is henderson is injured and still not confident of his fitness yet jwp has not missed a single minute this season and has not been selected he has no interest in watching the euros,HOF
142,en,see how foreign donations have been diverted from pm cares to other sources ex pat cummins 50000 other countries can see this yet blind devotees cannot see it modi is ruining our country modi should resign,HOF
143,en,is this my new india i am just speechless helpless have no hope from the d grade villains ruling the country shameful acts are being done by the most corrupt and shameless people ruling the country pm modi must resign,HOF
144,en,that bastard promotes groupism refuses to take the 11 different vaccines used in brazil calls those people donkey quarantine and on top of that spends our tax money buying meat and making barbecues with his family,HOF
145,en,2 more weeks left stop petty politics resign pmmodi,HOF
146,en,it has been deployed in many places because tmc goons are looting vandalising and raping bjp workers and their families even itbp is being deployed meanwhile state police is not even writing fir shame on mamata mamatas terrorists are burning bengal tmc,HOF
147,en,bengal is burning another reason to continue hating dhruv rathee 12,NOT
148,en,okay what did you do to anger the universe,HOF
149,en,box o joke time my mom never saw the irony in calling me a sonofabitch box ha and ha and ha,HOF
150,en,where are you people who supported mamata do not you see violence on bjp workers now why is your mouth shut why cannot you speak against them never forget that if they are victims today the next victim could be you or your family shame on tmc bengal is burning open your eyes violence is happening in bengal,HOF
151,en,gay gay gay trans gay trans gay gay trans trans gay little trans bitch gay gay homo homo that is me woman pleaser wow wow wow wawaweeva mfw gay,HOF
152,en,why cannot indian media have such reporting everyone is wasting their time on useless issues now is the time to make people accountable for their deeds pm modi should resign,HOF
153,en,these really strain credibility people are really concerned that the covid vaccine effort is proof of how direct public funding can drive pharmaceutical innovation and be used far more broadly ip was not important in the context of this pandemic414,NOT
154,en,situation is very bad in india and need your help no oxygen in india no remdesivir injection helpindia india covid crisis india oxygen concentrator covid 19 india covid emergency oxygen covid second wave in india modis vaccine jumla,NOT
155,en,stop singing you bastard,HOF
156,en,ccp virus came from a lab in wuhan china china is responsible for spreading corona virus across the world it is a chinese virus fuck china ckmkb chuttad chinese party ccp chinese,HOF
157,en,the hashtag says it all china lied people died china lied millions died chinese virus wuhan virus chinese gift to the world covid 19 ironically this bsf gift is real and dangerous,HOF
158,en,this is a horrific health tragedy in india and many south asians are feeling its effects across the world despite being thousands of miles away covid surges low vaccination rates and the burden on hospitals have contributed to the growing disaster india covid crisis,NOT
159,en,people are dying without any medical treatment and oxygen this is happening only in india shame on modis vaccine jumla,HOF
160,en,is anyone else uncomfortable with lisa nandy politicizing indias covid crisis to win electoral votes,NOT
161,en,misinterpretation of islam gives rise to islamophobia,NOT
162,en,shame on you the centre should be ashamed even the word shame will bring shame when compared to modi modi should resign modi has caused a disaster,HOF
