id,lang,text,label
3843,hi,हद मर रह ह हदओ क जवन मयन रखत ह कपय धयन द परधनमतर नरदर मद करनसकडववइनइडय मद न आपद बन द इसतफ द मद भजप आरएसएस झठ ह मन 2 सल पहल चतवन द थ आरएसएस आतकवदय क सरदर पटल न नजरअदज कय शर नह भदय पल लय भकत मत क सदगर,NOT
3844,hi,सब इतन कषट कर रह ह फर भ आम आदम क सलडर और कसटरटर खद ह खरदन पड रह ह फर व भल क तल म कह रह ह भरत करन स लडत ह भरतय ईडकसजन भरत कवड सकट,NOT
3845,hi,शरए सवन शहबदन सहब वह ह ज इजजतदर ह और ज उनस वफदर नह ह शहबददन क इसफ मल,NOT
3846,hi,असमन पसतक क वशज ह,HOF
3847,hi,दगल पत न कह ह क इस सप क बल पर मन 0 स 10 तक क सफर तय कय और अपन इजजत बचई आज म उस सप क मस क बर म बत कर रह ह,NOT
3848,hi,बहर क आम जनत सरकर वयवसथ और लल परवर स बहत दख ह कल अखबर म य दन लख जएग और बद म आप पढग यद रखय एक ससद क अपमन हआ थ आपक बत समझ म नह आई आज हमर लए ह कल आपक लए हग शहबददन क नयय मल,HOF
3849,hi,य हककत ह क म पतर म चरख चलऊग पर ऐस कभ नह करग गजट म भ द दग फर म कहत रह क अब भगवत क बचच मझ कहग क चरख चलओ और फर सब घर चल जएग,HOF
3850,hi,भजपर क सगर क 2 टकड कय कई लडक कस भ लडक क नम लकर फहद बदक बन सकत ह कभ कभ सच हत ह क जब लडक घर स बहर जत ह त महलल म डज म उसक नम लकर फहद बदक बज रह हत ह उस कस लगत हग घर आकर त वह चक जत हग डप शव चधर,HOF
3851,hi,मदद गभर ह चनव क बद भजप करयकरतओ क खलफ वरध परदरशन ह रह ह रजय सरकर क खलफ सखत कररवई हन चहए परकश जवडकर भजप टएमस पशचम बगल हस बगल जल रह ह,NOT
3852,hi,मर मशकल लडक,HOF
3853,hi,अगर आप शहबददन क सथ ह त इस टवट क रटवट कर और इस हशटग पर टवट कर जसटस फर शहबददन,NOT
3854,hi,अगर बबबर क मक पर बजप 4 रजय सरकर क बरखसत कर उन रजय म रषटरपत शसन लग सकत ह त आज दश क बहमत क ढच क नषट करक जस रजय सरकर क रज म नरसहर चल रह ह उस बरखसत कर दन चहए,NOT
3855,hi,कय बशरम आदम ह यर,HOF
3856,hi,कश कण कण करन करन करन करन करन करन करन करन करन ह गद मडय बन ईवएम 25 मसद कण सड खनन इसतफ द मद जनयज आज तक,NOT
